,no,latitude,longitude,sub_area
0,11054,55.6828288416,37.4162122268,Bibirevo
1,19359,55.6828288416,37.4162122268,Nagatinskij Zaton
2,21535,55.6828288416,37.4162122268,Tekstil'shhiki
3,23401,55.6828288416,37.4162122268,Mitino
4,23613,55.6828288416,37.4162122268,Basmannoe
5,24349,55.6828288416,37.4162122268,Nizhegorodskoe
6,25055,55.6828288416,37.4162122268,Sokol'niki
7,25476,55.6828288416,37.4162122268,Bibirevo
8,25576,55.6828288416,37.4162122268,Koptevo
9,25761,55.6828288416,37.4162122268,Kuncevo
10,26250,55.6828288416,37.4162122268,Kosino-Uhtomskoe
11,27304,55.6828288416,37.4162122268,Zapadnoe Degunino
12,27404,55.6828288416,37.4162122268,Kuncevo
13,27932,55.6828288416,37.4162122268,Presnenskoe
14,28177,55.6828288416,37.4162122268,Lefortovo
15,29210,55.6828288416,37.4162122268,Mar'ino
16,30378,55.6828288416,37.4162122268,Kuz'minki
17,30429,55.6828288416,37.4162122268,Nagornoe
18,24556,55.6864097391,37.4155031124,Kosino-Uhtomskoe
19,27202,55.6864097391,37.4155031124,Gol'janovo
20,15066,55.8850805096,37.4764519819,Vnukovo
21,21826,55.8850805096,37.4764519819,Juzhnoe Tushino
22,24053,55.8850805096,37.4764519819,Severnoe Tushino
23,29565,55.8850805096,37.4764519819,Chertanovo Central'noe
24,14618,55.7113560182,37.3890272161,Juzhnoe Tushino
25,25151,55.9028670853,37.6091323513,Fili Davydkovo
26,21328,55.6655128045,37.427373298,Otradnoe
27,23602,55.8141188292,37.392009624,Novo-Peredelkino
28,79,55.6285079383,37.4743680292,Bogorodskoe
29,561,55.6285079383,37.4743680292,Jaroslavskoe
30,5053,55.6285079383,37.4743680292,Strogino
31,21329,55.604506311,37.7544754518,Hovrino
32,23076,55.604506311,37.7544754518,Bibirevo
33,13676,55.5741470841,37.6751330032,Moskvorech'e-Saburovo
34,18878,55.828540831,37.8258044588,Staroe Krjukovo
35,756,55.5944109308,37.5248329191,Mar'ino
36,1079,55.5944109308,37.5248329191,Ljublino
37,18687,55.5944109308,37.5248329191,Caricyno
38,10843,55.6978671144,37.8263841775,Veshnjaki
39,15736,55.6978671144,37.8263841775,Veshnjaki
40,25997,55.6978671144,37.8263841775,Danilovskoe
41,11797,55.7169358356,37.3875415916,Caricyno
42,14659,55.7169358356,37.3875415916,Preobrazhenskoe
43,27234,55.7169358356,37.3875415916,Kon'kovo
44,6851,55.5907105962,37.541232606,Brateevo
45,19525,55.5907105962,37.541232606,Mitino
46,10133,55.6141932273,37.4921584609,Vostochnoe Izmajlovo
47,11762,55.9007763147,37.6139440337,Novo-Peredelkino
48,19453,55.9007763147,37.6139440337,Jaroslavskoe
49,22013,55.9007763147,37.6139440337,Zapadnoe Degunino
50,21545,55.9014070005,37.6113353088,Caricyno
51,390,55.8147717755,37.3935042994,Vyhino-Zhulebino
52,2779,55.8147717755,37.3935042994,Tekstil'shhiki
53,26167,55.6226746312,37.4743566254,Donskoe
54,12929,55.5936212228,37.5283652271,Ljublino
55,14596,55.5936212228,37.5283652271,Novogireevo
56,21032,55.5936212228,37.5283652271,Bogorodskoe
57,9052,55.7098176995,37.3924665236,Juzhnoe Butovo
58,3193,55.6295164059,37.7980088024,Sokol
59,13700,55.6295164059,37.7980088024,Chertanovo Central'noe
60,16400,55.6295164059,37.7980088024,Kurkino
61,17300,55.6295164059,37.7980088024,Izmajlovo
62,19971,55.6295164059,37.7980088024,Preobrazhenskoe
63,13761,55.7700887969,37.8395924876,Novogireevo
64,15374,55.7700887969,37.8395924876,Donskoe
65,20850,55.7700887969,37.8395924876,Severnoe Medvedkovo
66,23232,55.7700887969,37.8395924876,Strogino
67,28365,55.598612105,37.5118709098,Donskoe
68,8593,55.8989769157,37.6215928578,Rostokino
69,18318,55.8989769157,37.6215928578,Orehovo-Borisovo Severnoe
70,24762,55.8989769157,37.6215928578,Bibirevo
71,28857,55.8989769157,37.6215928578,Ochakovo-Matveevskoe
72,12566,55.9068289077,37.5553524466,Taganskoe
73,17291,55.9068289077,37.5553524466,Dmitrovskoe
74,19606,55.9068289077,37.5553524466,Donskoe
75,19812,55.9068289077,37.5553524466,Vyhino-Zhulebino
76,30460,55.8821613245,37.720726331,Orehovo-Borisovo Juzhnoe
77,7002,55.7555714497,37.8386445789,Kuz'minki
78,964,55.8132200025,37.3931852221,Teplyj Stan
79,3155,55.8132200025,37.3931852221,Izmajlovo
80,12616,55.8132200025,37.3931852221,Gol'janovo
81,12977,55.8132200025,37.3931852221,Juzhnoe Butovo
82,13270,55.8132200025,37.3931852221,Hovrino
83,14030,55.8132200025,37.3931852221,Basmannoe
84,15566,55.8132200025,37.3931852221,Juzhnoe Butovo
85,15749,55.8132200025,37.3931852221,Babushkinskoe
86,16812,55.8132200025,37.3931852221,Bogorodskoe
87,18210,55.8132200025,37.3931852221,Staroe Krjukovo
88,25566,55.8132200025,37.3931852221,Pokrovskoe Streshnevo
89,25840,55.8132200025,37.3931852221,Kon'kovo
90,4708,55.8931062826,37.6754386842,Obruchevskoe
91,16258,55.8931062826,37.6754386842,Filevskij Park
92,23167,55.8931062826,37.6754386842,Troparevo-Nikulino
93,23743,55.8931062826,37.6754386842,Severnoe Butovo
94,21201,55.7562846671,37.8387545452,Otradnoe
95,17267,55.8963186287,37.6358079622,Hamovniki
96,20613,55.7577209627,37.8388127104,Juzhnoe Tushino
97,19489,55.6220614598,37.4748680274,Moskvorech'e-Saburovo
98,14722,55.7539006483,37.8385799752,Solncevo
99,8345,55.7225832449,37.3848978933,Orehovo-Borisovo Severnoe
100,10986,55.9068514877,37.5558628636,Tekstil'shhiki
101,11725,55.9068514877,37.5558628636,Dorogomilovo
102,18883,55.9068514877,37.5558628636,Bibirevo
103,7060,55.897075968,37.6308462488,Severnoe Medvedkovo
104,9881,55.897075968,37.6308462488,Timirjazevskoe
105,11427,55.5762200465,37.5834889885,Bogorodskoe
106,15954,55.5762200465,37.5834889885,Lianozovo
107,5831,55.6303652841,37.7990788817,Zapadnoe Degunino
108,14412,55.8090432773,37.3919545336,Izmajlovo
109,22961,55.6954453778,37.8256594757,Hovrino
110,16221,55.7103164896,37.3921700601,Pechatniki
111,21451,55.7103164896,37.3921700601,Bogorodskoe
112,10643,55.5740199751,37.6661601796,Krjukovo
113,19781,55.8977998157,37.6266427477,Lefortovo
114,17149,55.8065183974,37.3911183457,Gol'janovo
115,24952,55.8065183974,37.3911183457,Dmitrovskoe
116,19597,55.7004718002,37.8271080748,Jasenevo
117,2832,55.7323033635,37.8440050827,Novo-Peredelkino
118,24571,55.6322551277,37.4715565234,Chertanovo Severnoe
119,13115,55.8072065447,37.3914139925,Rjazanskij
120,2816,55.8278694181,37.8236521523,Vyhino-Zhulebino
121,11462,55.8967536718,37.6323860935,Lianozovo
122,8375,55.8995537435,37.6181689745,Silino
123,21893,55.6005385364,37.5088432383,Ochakovo-Matveevskoe
124,2838,55.8143731763,37.3937438451,Hamovniki
125,1640,55.8281506875,37.8255338494,Bogorodskoe
126,10867,55.8281506875,37.8255338494,Donskoe
127,11457,55.8281506875,37.8255338494,Orehovo-Borisovo Severnoe
128,18915,55.8281506875,37.8255338494,Ivanovskoe
129,20791,55.7283871173,37.8360369706,Lefortovo
130,9165,55.9003511334,37.6145682598,Golovinskoe
131,7998,55.6338401691,37.4698580605,Ivanovskoe
132,33,55.8991410955,37.6197846284,Otradnoe
133,2506,55.7369003055,37.8371028341,Obruchevskoe
134,9953,55.7369003055,37.8371028341,Kon'kovo
135,18778,55.7369003055,37.8371028341,Lefortovo
136,29718,55.7369003055,37.8371028341,Novokosino
137,5937,55.8278236193,37.8262502009,Bogorodskoe
138,14603,55.8278236193,37.8262502009,Taganskoe
139,16524,55.7189478061,37.3870909947,Nagatino-Sadovniki
140,27617,55.6181378857,37.4884446325,Dmitrovskoe
141,8811,55.6202240856,37.485965757,Orehovo-Borisovo Severnoe
142,2130,55.7057477952,37.3986010865,Severnoe Medvedkovo
143,21192,55.7057477952,37.3986010865,Izmajlovo
144,5366,55.6325310425,37.8019675382,Birjulevo Vostochnoe
145,16306,55.6325310425,37.8019675382,Severnoe Izmajlovo
146,28002,55.574276548,37.6646449985,Sokolinaja Gora
147,11643,55.7096608841,37.3934025045,Nagatino-Sadovniki
148,2401,55.8171087692,37.3949777805,Nagatinskij Zaton
149,6758,55.8171087692,37.3949777805,Vostochnoe Degunino
150,8650,55.8171087692,37.3949777805,Ljublino
151,17032,55.8171087692,37.3949777805,Novo-Peredelkino
152,20836,55.8171087692,37.3949777805,Chertanovo Central'noe
153,23585,55.8171087692,37.3949777805,Prospekt Vernadskogo
154,25117,55.8171087692,37.3949777805,Savelki
155,26753,55.8171087692,37.3949777805,Dmitrovskoe
156,20349,55.7213757013,37.8347746207,Ajeroport
157,21969,55.7213757013,37.8347746207,Vojkovskoe
158,15069,55.5768593045,37.5794874608,Ochakovo-Matveevskoe
159,20023,55.5768593045,37.5794874608,Solncevo
160,22153,55.5768593045,37.5794874608,Mar'ino
161,23397,55.5768593045,37.5794874608,Beskudnikovskoe
162,18007,55.772500482,37.8388872655,Juzhnoe Butovo
163,8720,55.600941125,37.7443541676,Severnoe Butovo
164,785,55.7716880411,37.8389195558,Savelki
165,2883,55.7716880411,37.8389195558,Moskvorech'e-Saburovo
166,5746,55.5754074972,37.6475772324,Vostochnoe Degunino
167,20583,55.5754074972,37.6475772324,Juzhnoe Butovo
168,13155,55.8385082737,37.3912775678,Ochakovo-Matveevskoe
169,22974,55.8385082737,37.3912775678,Nagatinskij Zaton
170,18534,55.6970065063,37.8253616764,Krylatskoe
171,27406,55.578940394,37.570473357,Pechatniki
172,2204,55.8153140852,37.8342135538,Juzhnoportovoe
173,2337,55.8153140852,37.8342135538,Bogorodskoe
174,11380,55.8153140852,37.8342135538,Kuz'minki
175,15463,55.8153140852,37.8342135538,Birjulevo Vostochnoe
176,3054,55.8957249648,37.636857217,Danilovskoe
177,677,55.5752230274,37.5856951117,Hovrino
178,22146,55.5752230274,37.5856951117,Kurkino
179,27993,55.5752230274,37.5856951117,Perovo
180,15578,55.6307855027,37.7987519748,Mar'ino
181,16606,55.7793393981,37.8380486729,Akademicheskoe
182,3197,55.882609499,37.7184944649,Orehovo-Borisovo Severnoe
183,29964,55.882609499,37.7184944649,Brateevo
184,21098,55.6959109835,37.8249586983,Horoshevo-Mnevniki
185,24054,55.6959109835,37.8249586983,Otradnoe
186,18930,55.8960394534,37.6342449126,Kuz'minki
187,27361,55.8960394534,37.6342449126,Nagatinskij Zaton
188,30019,55.6221135856,37.47374244,Ivanovskoe
189,25146,55.7385292934,37.8366829138,Ochakovo-Matveevskoe
190,8996,55.6016459962,37.5082495591,Shhukino
191,1511,55.6018948337,37.7459668052,Gol'janovo
192,4281,55.5754274983,37.5843400088,Hovrino
193,13216,55.5754274983,37.5843400088,Vostochnoe Izmajlovo
194,13974,55.5754274983,37.5843400088,Mitino
195,18770,55.5754274983,37.5843400088,Nagatinskij Zaton
196,22030,55.5996474674,37.5113745549,Basmannoe
197,10776,55.6005316393,37.5099875957,Juzhnoe Tushino
198,16557,55.8297031722,37.8213134084,Kapotnja
199,17380,55.8297031722,37.8213134084,Fili Davydkovo
200,21492,55.8297031722,37.8213134084,Horoshevskoe
201,3559,55.8992378208,37.6170048603,Juzhnoe Butovo
202,15236,55.8992378208,37.6170048603,Marfino
203,25259,55.8992378208,37.6170048603,Juzhnoportovoe
204,3983,55.6346805894,37.4699215363,Vostochnoe Izmajlovo
205,14858,55.6346805894,37.4699215363,Lefortovo
206,10911,55.7215782475,37.8343440976,Krylatskoe
207,12779,55.7215782475,37.8343440976,Chertanovo Juzhnoe
208,25004,55.7215782475,37.8343440976,Silino
209,26269,55.6979121805,37.8249416095,Chertanovo Juzhnoe
210,2609,55.892764381,37.6650660186,Obruchevskoe
211,15533,55.5772301172,37.5766089699,Juzhnoe Tushino
212,27545,55.5772301172,37.5766089699,Savelovskoe
213,4843,55.597803377,37.5160389731,Jasenevo
214,17341,55.8017019938,37.8349780024,Juzhnoe Tushino
215,21001,55.893042085,37.6571980091,Chertanovo Juzhnoe
216,399,55.7217939179,37.834100839,Obruchevskoe
217,28611,55.7217939179,37.834100839,Fili Davydkovo
218,14043,55.7397001445,37.8362993452,Severnoe Izmajlovo
219,1738,55.7564533604,37.8373992048,Filevskij Park
220,25504,55.7560166643,37.8372370859,Danilovskoe
221,7677,55.575413003,37.675592842,Severnoe Medvedkovo
222,16314,55.575413003,37.675592842,Kurkino
223,22654,55.575413003,37.675592842,Birjulevo Zapadnoe
224,27526,55.575413003,37.675592842,Danilovskoe
225,10969,55.7325470184,37.8354036743,Severnoe Tushino
226,950,55.6314508339,37.7990209027,Taganskoe
227,3720,55.6314508339,37.7990209027,Nekrasovka
228,1062,55.5761909011,37.5800574387,Juzhnoe Butovo
229,19502,55.5906805801,37.5453041626,Ljublino
230,22467,55.5906805801,37.5453041626,Nagatinskij Zaton
231,17065,55.7104609127,37.3936988762,Chertanovo Central'noe
232,22032,55.816075431,37.8333472155,Vyhino-Zhulebino
233,5957,55.5760468911,37.6445959441,Orehovo-Borisovo Severnoe
234,7494,55.5760468911,37.6445959441,Presnenskoe
235,13517,55.5760468911,37.6445959441,Taganskoe
236,17978,55.5760468911,37.6445959441,Perovo
237,24900,55.5760468911,37.6445959441,Mar'ino
238,29887,55.5760468911,37.6445959441,Jasenevo
239,6110,55.7641126946,37.8375880112,Vojkovskoe
240,27131,55.6232327511,37.4715737568,Krjukovo
241,14866,55.8777487556,37.7271877743,Veshnjaki
242,2371,55.9059593893,37.5560541282,Birjulevo Vostochnoe
243,13128,55.9059593893,37.5560541282,Novo-Peredelkino
244,23610,55.9059593893,37.5560541282,Ivanovskoe
245,10101,55.8966905015,37.6277885033,Krylatskoe
246,15184,55.8413840824,37.3887307842,Orehovo-Borisovo Severnoe
247,16222,55.8413840824,37.3887307842,Rjazanskij
248,24284,55.8413840824,37.3887307842,Lefortovo
249,1766,55.6221937301,37.4851699341,Dmitrovskoe
250,11223,55.6221937301,37.4851699341,Kosino-Uhtomskoe
251,12528,55.6221937301,37.4851699341,Cheremushki
252,17227,55.6221937301,37.4851699341,Sviblovo
253,21759,55.6221937301,37.4851699341,Prospekt Vernadskogo
254,26068,55.6221937301,37.4851699341,Ochakovo-Matveevskoe
255,15258,55.5757729783,37.581121142,Kuz'minki
256,25616,55.5757729783,37.581121142,Koptevo
257,24599,55.6180983773,37.4901692472,Pechatniki
258,21768,55.7614037481,37.8373016268,Gol'janovo
259,24809,55.7614037481,37.8373016268,Kapotnja
260,8287,55.6634675204,37.4252625226,Alekseevskoe
261,17879,55.6634675204,37.4252625226,Kuz'minki
262,8134,55.5740355056,37.5887191736,Ajeroport
263,26176,55.7074424935,37.3981114798,Caricyno
264,164,55.5779186404,37.5717610918,Kurkino
265,13437,55.5779186404,37.5717610918,Babushkinskoe
266,19906,55.5779186404,37.5717610918,Rjazanskij
267,2466,55.8274757986,37.8247671579,Severnoe Butovo
268,6247,55.8274757986,37.8247671579,Severnoe Butovo
269,400,55.7214648178,37.8334479581,Chertanovo Juzhnoe
270,15657,55.7006850251,37.8253980477,Krasnosel'skoe
271,2874,55.8019465728,37.3903711618,Kosino-Uhtomskoe
272,14817,55.8019465728,37.3903711618,Mar'ino
273,19413,55.7110523096,37.3935156456,Orehovo-Borisovo Juzhnoe
274,11552,55.5948432047,37.5290509669,Kotlovka
275,18715,55.5948432047,37.5290509669,Strogino
276,30243,55.6982354565,37.8242417497,Kon'kovo
277,10543,55.8225372971,37.8285259041,Zapadnoe Degunino
278,26804,55.8225372971,37.8285259041,Kurkino
279,9019,55.5774449913,37.5733823264,Severnoe Butovo
280,10963,55.5774449913,37.5733823264,Bogorodskoe
281,6578,55.8968386225,37.6258324966,Ivanovskoe
282,4085,55.621637333,37.4729609082,Pechatniki
283,6400,55.621637333,37.4729609082,Pechatniki
284,7769,55.621637333,37.4729609082,Danilovskoe
285,7863,55.621637333,37.4729609082,Ljublino
286,27348,55.881702796,37.7185296186,Horoshevskoe
287,3608,55.600987293,37.5105542222,Nagornoe
288,3161,55.7723310344,37.8374875078,Nagornoe
289,734,55.9056341534,37.5555166645,Horoshevo-Mnevniki
290,14551,55.9056341534,37.5555166645,Mar'ino
291,18665,55.9056341534,37.5555166645,Nagornoe
292,20426,55.9056341534,37.5555166645,Kosino-Uhtomskoe
293,20739,55.9056341534,37.5555166645,Horoshevskoe
294,15075,55.7405359008,37.8357646164,Novogireevo
295,25046,55.8150209726,37.8328691558,Otradnoe
296,12139,55.7363830434,37.8464908855,Nagatinskij Zaton
297,22025,55.8873189585,37.7074381359,Kuncevo
298,23614,55.8873189585,37.7074381359,Ajeroport
299,5844,55.7321748718,37.8459996534,Zjuzino
300,23426,55.7321748718,37.8459996534,Kuz'minki
301,25044,55.7321748718,37.8459996534,Kuz'minki
302,27939,55.7321748718,37.8459996534,Beskudnikovskoe
303,12289,55.7214084558,37.8333246503,Koptevo
304,12388,55.6998107928,37.824660946,Preobrazhenskoe
305,23841,55.6998107928,37.824660946,Nagornoe
306,946,55.813541338,37.832926434,Krjukovo
307,21799,55.813541338,37.832926434,Izmajlovo
308,28936,55.7701465495,37.3752360904,Ostankinskoe
309,29766,55.7701465495,37.3752360904,Kuncevo
310,29833,55.7701465495,37.3752360904,Severnoe Medvedkovo
311,29949,55.7701465495,37.3752360904,Danilovskoe
312,30040,55.7701465495,37.3752360904,Chertanovo Central'noe
313,10992,55.8984807841,37.6173588468,Tverskoe
314,688,55.617764992,37.4909341022,Severnoe Izmajlovo
315,16068,55.617764992,37.4909341022,Rjazanskij
316,29645,55.7193747568,37.3888617059,Sokol
317,24883,55.5792798743,37.5974990102,Ochakovo-Matveevskoe
318,1695,55.8922955661,37.6607865744,Shhukino
319,19898,55.63386871,37.8015144281,Horoshevskoe
320,358,55.5780397841,37.569988516,Severnoe Izmajlovo
321,369,55.5780397841,37.569988516,Orehovo-Borisovo Juzhnoe
322,10451,55.5780397841,37.569988516,Pechatniki
323,22029,55.6292955111,37.7944594763,Babushkinskoe
324,9971,55.8980496576,37.6189828072,Severnoe Izmajlovo
325,11254,55.8980496576,37.6189828072,Chertanovo Severnoe
326,22985,55.8980496576,37.6189828072,Jasenevo
327,30063,55.8980496576,37.6189828072,Otradnoe
328,2147,55.8022399568,37.3911089229,Tverskoe
329,2302,55.8022399568,37.3911089229,Ivanovskoe
330,2713,55.8022399568,37.3911089229,Ochakovo-Matveevskoe
331,3501,55.8022399568,37.3911089229,Preobrazhenskoe
332,3575,55.8022399568,37.3911089229,Severnoe Izmajlovo
333,4432,55.8022399568,37.3911089229,Losinoostrovskoe
334,4452,55.8022399568,37.3911089229,Preobrazhenskoe
335,4519,55.8022399568,37.3911089229,Novo-Peredelkino
336,4616,55.8022399568,37.3911089229,Perovo
337,4742,55.8022399568,37.3911089229,Akademicheskoe
338,4975,55.8022399568,37.3911089229,Staroe Krjukovo
339,4998,55.8022399568,37.3911089229,Orehovo-Borisovo Severnoe
340,5118,55.8022399568,37.3911089229,Kosino-Uhtomskoe
341,3231,55.8276489716,37.8233191028,Butyrskoe
342,13591,55.7779569692,37.8364470491,Perovo
343,22271,55.7779569692,37.8364470491,Krjukovo
344,27864,55.8770573134,37.7273027976,Rjazanskij
345,16264,55.57376604,37.5878462074,Losinoostrovskoe
346,29129,55.57376604,37.5878462074,Matushkino
347,8036,55.8106617092,37.3948943255,Novo-Peredelkino
348,9228,55.8106617092,37.3948943255,Mar'ino
349,14458,55.8106617092,37.3948943255,Lianozovo
350,23283,55.8106617092,37.3948943255,Mitino
351,13482,55.6170635775,37.4921598746,Sokol
352,5202,55.5766343473,37.6462043613,Kon'kovo
353,13117,55.5766343473,37.6462043613,Babushkinskoe
354,24838,55.6020974589,37.7437826025,Fili Davydkovo
355,11838,55.6337646539,37.4726003409,Troparevo-Nikulino
356,13726,55.6337646539,37.4726003409,Danilovskoe
357,14288,55.6337646539,37.4726003409,Severnoe Butovo
358,16748,55.6337646539,37.4726003409,Mitino
359,20877,55.6337646539,37.4726003409,Gol'janovo
360,22597,55.6337646539,37.4726003409,Gol'janovo
361,23376,55.6337646539,37.4726003409,Gol'janovo
362,27841,55.6337646539,37.4726003409,Perovo
363,18393,55.8782114856,37.7246510228,Kapotnja
364,22234,55.8782114856,37.7246510228,Horoshevo-Mnevniki
365,20069,55.7357548065,37.8468625979,Koptevo
366,27625,55.7357548065,37.8468625979,Bibirevo
367,9259,55.5985105071,37.5165752931,Krylatskoe
368,977,55.6271779702,37.4804162673,Severnoe Butovo
369,23298,55.6271779702,37.4804162673,Severnoe Izmajlovo
370,27596,55.6271779702,37.4804162673,Horoshevo-Mnevniki
371,430,55.7701946544,37.8368947426,Juzhnoe Butovo
372,1688,55.6088268532,37.7571828632,Sokolinaja Gora
373,19432,55.6088268532,37.7571828632,Ivanovskoe
374,21468,55.7216721365,37.8328947549,Pokrovskoe Streshnevo
375,17922,55.6208975385,37.4730906577,Ljublino
376,18864,55.6208975385,37.4730906577,Metrogorodok
377,4966,55.9002009375,37.6091869183,Losinoostrovskoe
378,3364,55.5808353532,37.6897121667,Severnoe Tushino
379,18850,55.5808353532,37.6897121667,Mar'ino
380,20302,55.5808353532,37.6897121667,Perovo
381,23589,55.8247884338,37.8262065798,Lianozovo
382,29435,55.8247884338,37.8262065798,Izmajlovo
383,13428,55.7178656361,37.3900838005,Severnoe Butovo
